|                                                                                                                                                                                                                                                                                  | LO_REVENUE     |
+----------------------------------------------------+---------------------------------------------------------+----------------------------------------------------+---------------------------------------------------------+----------------------------------------------------+----------------+
| <http://lod2.eu/schemas/rdfh#lo_custkeyRegionASIA> | <http://lod2.eu/schemas/rdfh#lo_custkeyNationCHINA>     | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionASIA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationCHINA>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 53.202.304.966 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 52.197.097.507 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 52.525.946.124 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 52.421.548.431 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 53.671.108.592 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 52.788.981.021 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationINDIA>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 53.363.391.476 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 52.946.193.531 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 52.997.321.941 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 53.672.123.936 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 53.436.907.487 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 54.352.229.494 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationINDONESIA> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 56.294.215.648 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 56.167.494.867 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 55.456.868.802 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 55.888.788.272 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 56.240.855.720 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 55.624.174.081 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationJAPAN>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 52.836.119.396 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 52.943.818.670 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 52.153.400.982 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 51.839.229.204 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 53.030.051.819 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 53.281.809.182 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationVIETNAM>   | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 50.875.757.574 |
