|                                                                                                                                                                                                                                                                                         | Profit         |
+----------------------------------------------------+-------------------------------------------------------+-------------------------------------------------------------+----------------------------------------------------+---------------------------------------------------------+----------------+
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionAMERICA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationARGENTINA>     | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 20.633.150.130 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 20.911.142.211 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 20.751.352.336 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 20.725.587.334 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 20.847.465.627 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 20.249.876.951 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 21.302.749.143 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 20.495.067.091 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 20.640.513.738 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 20.581.166.907 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationBRAZIL>        | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 20.336.534.391 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 19.878.221.181 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 19.800.437.055 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 19.931.925.060 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 19.816.491.706 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 19.805.847.607 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 20.195.348.769 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 20.074.204.925 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 19.665.389.566 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 19.802.289.453 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationCANADA>        | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 20.993.920.907 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 20.788.212.732 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 20.582.154.083 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 20.362.070.872 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 21.019.323.130 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 20.628.385.631 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 21.051.367.486 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 21.246.059.063 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 20.899.413.741 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 20.371.722.143 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationPERU>          | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 20.123.262.396 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 20.435.195.199 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 20.644.146.457 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 20.792.194.518 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 20.257.979.054 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 20.161.248.985 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 20.485.090.615 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 20.348.873.210 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 20.678.352.774 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 20.765.819.746 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationUNITED-STATES> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 20.724.850.604 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 20.017.511.699 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 21.016.131.045 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 20.014.491.295 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 20.196.560.991 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 20.531.748.627 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 20.882.575.322 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 21.070.136.590 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 20.257.501.400 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 20.251.954.880 |
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1998> | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionAMERICA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationARGENTINA>     | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 12.288.150.848 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 12.150.903.556 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 12.253.619.754 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 11.761.221.854 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 12.044.241.064 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 12.549.693.537 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 12.128.760.181 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 12.047.927.880 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 12.335.758.706 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 11.979.080.219 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationBRAZIL>        | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 11.647.118.611 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 11.765.031.850 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 11.539.651.912 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 11.728.424.691 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 12.047.145.706 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 11.782.460.918 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 11.756.056.270 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 11.547.114.917 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 12.102.760.874 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-25> | 12.136.894.531 |
|                                                    |                                                       | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationCANADA>        | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-11> | 12.053.393.754 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-12> | 12.283.529.601 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-13> | 12.468.524.366 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | 12.417.969.344 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-15> | 12.783.220.814 |
|                                                    |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-21> | 11.846.843.793 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | 12.420.965.086 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-23> | 11.510.243.336 |
|                                                    |                                                       |                                                             |                                                    | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-24> | 12.403.564.192 |
