|                                                                                                                                                                                                                                                                                  | LO_REVENUE    |
+----------------------------------------------------+---------------------------------------------------------+----------------------------------------------------+---------------------------------------------------------+----------------------------------------------------+---------------+
| <http://lod2.eu/schemas/rdfh#lo_custkeyRegionASIA> | <http://lod2.eu/schemas/rdfh#lo_custkeyNationCHINA>     | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionASIA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationCHINA>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 6.993.698.318 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 6.561.720.990 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 6.684.008.124 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 6.730.030.038 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 6.850.354.841 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 6.536.674.330 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationINDIA>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 6.017.679.573 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 6.009.169.048 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 6.223.298.646 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 5.868.806.984 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 5.874.751.205 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 5.965.938.663 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationINDONESIA> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 6.496.096.128 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 6.561.522.678 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 6.500.840.587 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 6.637.431.421 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 6.618.003.557 |
|                                                    |                                                         |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 6.411.952.594 |
|                                                    |                                                         |                                                    | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationJAPAN>     | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 6.196.262.698 |
