|                                                                                                                                                                                                                                                                                                                                                                                                                  | LO_REVENUE  |
+-------------------------------------------------------+-------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------+-------------------------------------------------------------+--------------------------------------------------------+----------------------------------------------------+-------------+
| <http://lod2.eu/schemas/rdfh#lo_custkeyRegionAMERICA> | <http://lod2.eu/schemas/rdfh#lo_custkeyNationUNITED-STATES> | <http://lod2.eu/schemas/rdfh#lo_custkeyCityUNITED-ST0> | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionAMERICA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationUNITED-STATES> | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST0> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 516.406.750 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 449.976.574 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 448.193.657 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 500.486.381 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 474.170.669 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 515.108.879 |
|                                                       |                                                             |                                                        |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST1> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 447.794.981 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 455.741.674 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 400.567.235 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 321.274.126 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 366.214.291 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 350.126.947 |
|                                                       |                                                             |                                                        |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST2> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 584.237.047 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 539.973.503 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 533.218.766 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 568.203.067 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 520.622.181 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 568.845.373 |
|                                                       |                                                             |                                                        |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST3> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 472.070.625 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 593.806.880 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 549.908.174 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 577.278.366 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 580.300.250 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 592.732.770 |
|                                                       |                                                             |                                                        |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST4> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 620.520.883 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | 612.121.812 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | 577.064.588 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | 586.953.139 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | 632.108.648 |
|                                                       |                                                             |                                                        |                                                       |                                                             |                                                        | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | 591.193.181 |
|                                                       |                                                             |                                                        |                                                       |                                                             | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST5> | <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | 471.566.638 |
